EventId,DateStart,Wsli_tot,Wcci_tot
20150914_095824,2015-09-14 09:58:24.147,-0.208568,-0.65552
20150914_100054,2015-09-14 10:00:54.149,0.144951,0.305057
20150914_101444,2015-09-14 10:14:44.110,-0.181662,-0.346347
20150914_101834,2015-09-14 10:18:34.213,-0.811357,-0.942852
20150914_102054,2015-09-14 10:20:54.165,-0.674873,-0.966902
20150914_102704,2015-09-14 10:27:04.220,-0.88199,-0.964154
20150914_102954,2015-09-14 10:29:54.172,-0.852597,-0.976333
20150914_103314,2015-09-14 10:33:14.124,-0.411941,-0.881614
20150914_103424,2015-09-14 10:34:24.175,-0.548145,-0.982568
20150914_103504,2015-09-14 10:35:04.076,-0.735947,-0.946329
20150914_103644,2015-09-14 10:36:44.127,-0.728644,-0.980063
20150914_114114,2015-09-14 11:41:14.178,-0.410017,-0.839967
20150914_121144,2015-09-14 12:11:44.202,0.00398684,0.0147822
20150914_121534,2015-09-14 12:15:34.155,-0.247714,-0.609264
20150914_121924,2015-09-14 12:19:24.108,0.254389,0.762141
20150914_122444,2015-09-14 12:24:44.212,0.285335,0.95697
20150914_122804,2015-09-14 12:28:04.164,-0.102235,-0.350157
20150914_124024,2015-09-14 12:40:24.124,0.0953536,0.602212
20150914_124204,2015-09-14 12:42:04.175,-0.207444,-0.900646
20150914_124344,2015-09-14 12:43:44.077,0.330924,0.979046
20150914_135804,2015-09-14 13:58:04.085,-0.037111,-0.128718
20150914_141304,2015-09-14 14:13:04.097,-0.177698,-0.485902
20150914_141634,2015-09-14 14:16:34.100,-0.172149,-0.73105
20150914_142304,2015-09-14 14:23:04.105,0.119582,0.569615
20150914_142654,2015-09-14 14:26:54.208,0.109875,0.281281
20150914_143004,2015-09-14 14:30:04.111,-0.834097,-0.947594
20150914_143844,2015-09-14 14:38:44.168,-0.462,-0.846825
20150914_144204,2015-09-14 14:42:04.120,-0.45681,-0.941578
20150914_144634,2015-09-14 14:46:34.124,-0.895001,-0.96003
20150914_145344,2015-09-14 14:53:44.179,-0.712543,-0.934058
20150914_152414,2015-09-14 15:24:14.204,-0.105721,-0.162833
20150914_152734,2015-09-14 15:27:34.156,-0.00725934,-0.0128825
20150914_153734,2015-09-14 15:37:34.164,-0.170902,-0.375187
20150914_154334,2015-09-14 15:43:34.169,-0.012128,-0.0344885
20150914_154814,2015-09-14 15:48:14.223,-0.087958,-0.237346
20150914_155104,2015-09-14 15:51:04.175,-0.102766,-0.450461
20150914_155424,2015-09-14 15:54:24.128,-0.184718,-0.492473
20150914_160234,2015-09-14 16:02:34.184,-0.175614,-0.616542
20150914_160624,2015-09-14 16:06:24.137,0.123784,0.512876
20150914_160954,2015-09-14 16:09:54.140,0.0665166,0.0974885
20150914_161314,2015-09-14 16:13:14.093,-0.223135,-0.568796
20150914_161454,2015-09-14 16:14:54.144,-0.286617,-0.522892
20150914_161634,2015-09-14 16:16:34.195,-0.10084,-0.298092
20150914_161824,2015-09-14 16:18:24.147,0.0303558,0.145339
20150915_111744,2015-09-15 11:17:44.107,-0.120635,-0.278512
20150915_112144,2015-09-15 11:21:44.110,0.154347,0.432124
20150915_112504,2015-09-15 11:25:04.213,0.0253637,0.0720281
20150915_114024,2015-09-15 11:40:24.175,0.154701,0.366502
20150915_114224,2015-09-15 11:42:24.177,-0.274125,-0.673254
20150915_114524,2015-09-15 11:45:24.180,0.0347745,0.236105
20150915_114834,2015-09-15 11:48:34.082,-0.31529,-0.766909
20150915_115914,2015-09-15 11:59:14.141,0.18161,0.561607
20150915_120044,2015-09-15 12:00:44.142,-0.0434694,-0.187737
20150915_120234,2015-09-15 12:02:34.093,-0.545697,-0.817157
20150915_121004,2015-09-15 12:10:04.100,0.41573,0.890782
20150915_121114,2015-09-15 12:11:14.151,-0.0519816,-0.145215
20150915_122214,2015-09-15 12:22:14.160,0.0577,0.400621
20150915_122514,2015-09-15 12:25:14.162,-0.0313706,-0.107117
20150915_122724,2015-09-15 12:27:24.214,-0.805681,-0.973437
20150915_122834,2015-09-15 12:28:34.115,-0.106741,-0.379667
20150915_123214,2015-09-15 12:32:14.168,0.214268,0.465148
20150915_123614,2015-09-15 12:36:14.171,-0.185045,-0.611934
20150915_124114,2015-09-15 12:41:14.175,0.0369638,0.110951
20150915_124354,2015-09-15 12:43:54.077,0.339928,0.683521
20150915_124644,2015-09-15 12:46:44.179,-0.00390998,-0.0310637
20150915_125144,2015-09-15 12:51:44.184,-0.405409,-0.803516
20150915_125934,2015-09-15 12:59:34.140,-0.250904,-0.874581
20150915_130104,2015-09-15 13:01:04.141,-0.193562,-0.660592
20150915_130224,2015-09-15 13:02:24.092,-0.0279099,-0.112119
20150915_130704,2015-09-15 13:07:04.146,0.132352,0.308698
20150915_134054,2015-09-15 13:40:54.124,0.0217695,0.0887166
20150915_134824,2015-09-15 13:48:24.130,-0.169804,-0.507778
20150915_140534,2015-09-15 14:05:34.194,0.113573,0.525273
20150915_141224,2015-09-15 14:12:24.149,-0.204836,-0.932867
20150915_150724,2015-09-15 15:07:24.194,-0.238855,-0.58169
20150915_151654,2015-09-15 15:16:54.202,-0.00804885,-0.0353455
20150915_152334,2015-09-15 15:23:34.108,-0.340449,-0.746805
20150915_152454,2015-09-15 15:24:54.209,-0.131414,-0.663587
20150915_152734,2015-09-15 15:27:34.111,0.029206,0.0761772
20150915_153134,2015-09-15 15:31:34.114,0.0209093,0.071848
20150915_153434,2015-09-15 15:34:34.117,-0.38033,-0.651994
20150915_153834,2015-09-15 15:38:34.120,-0.0996219,-0.634167
20150915_154434,2015-09-15 15:44:34.125,0.501655,0.895413
20150915_154744,2015-09-15 15:47:44.177,0.12465,0.520695
20150915_155514,2015-09-15 15:55:14.183,-0.169453,-0.371761
20150915_160644,2015-09-15 16:06:44.193,-0.0886478,-0.257158
20150915_161124,2015-09-15 16:11:24.097,-0.417243,-0.705039
20150915_161614,2015-09-15 16:16:14.201,-0.0768864,-0.129225
20150915_162314,2015-09-15 16:23:14.206,0.281943,0.496579
20150915_163144,2015-09-15 16:31:44.213,0.266386,0.533033
20150915_171900,2015-09-15 17:19:04.202,-0.458646,-0.978241
20150916_115824,2015-09-16 11:58:24.201,-0.0171859,-0.0806684
20150916_125444,2015-09-16 12:54:44.197,-0.0827878,-0.227291
20150916_125724,2015-09-16 12:57:24.099,0.202885,0.58476
