DateStart,Error
2015-09-10 19:38:14.205000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-10 20:33:44.101000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-10 20:54:34.218000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-10 20:30:54.148000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-10 20:06:44.078000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-10 19:42:54.109000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-10 20:08:24.130000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-10 21:02:44.125000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-10 20:10:34.182000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-11 07:48:54.182000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-11 10:05:24.138000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-11 09:29:54.110000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-11 08:21:04.107000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-11 09:41:54.119000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-11 10:12:14.093000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-11 10:15:24.146000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-11 11:01:44.133000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-11 10:58:04.080000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-11 13:01:04.179000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-11 14:05:14.132000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-11 13:57:44.126000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-11 14:19:04.093000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-11 15:47:14.215000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-11 15:56:14.222000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-11 15:59:44.075000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-11 16:12:44.085000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-11 16:09:54.133000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-11 16:03:14.078000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-11 16:17:24.139000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-11 16:15:24.138000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-11 16:19:34.191000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-11 16:39:24.157000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-11 16:36:34.205000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-11 16:40:54.158000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-11 16:44:04.211000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-11 16:47:14.113000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-12 12:39:14.169000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-11 20:29:14.143000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-13 10:34:34.184000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-13 10:55:34.201000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-13 11:02:04.206000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-13 11:20:24.171000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-13 11:24:54.174000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-13 14:22:44.120000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-13 15:24:34.120000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-13 15:16:24.213000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-13 15:31:24.076000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-13 17:27:54.171000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-14 09:42:54.135000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-14 09:58:24.147000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-14 10:00:54.149000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-14 10:14:44.110000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-14 11:41:14.178000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-14 10:20:54.165000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-14 10:18:34.213000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-14 10:29:54.172000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-14 10:27:04.220000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-14 10:33:14.124000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-14 10:34:24.175000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-14 10:35:04.076000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-14 10:36:44.127000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-14 12:11:44.202000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-14 12:15:34.155000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-14 12:28:04.164000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-14 12:40:24.124000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-14 12:42:04.175000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-14 12:43:44.077000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-14 13:58:04.085000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-14 14:13:04.097000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-14 14:23:04.105000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-14 14:42:04.120000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-14 14:26:54.208000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-14 14:30:04.111000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-14 14:46:34.124000+00:00,local variable 'ind_range_msp' referenced before assignment
